str_no_string|NO STRING!
str_town_is_abondened|В городе нет гарнизона для защиты.
str_place_is_occupied_by_player|В гарнизоне располагаются ваши войска.
str_place_is_occupied_by_enemy|В гарнизоне располагаются враждебные вам войска.
str_place_is_occupied_by_friendly|В гарнизоне располагаются войска союзников.
str_do_you_want_to_retreat|Вы уверены, что хотите отступить?
str_give_up_fight|Сдаться?
str_do_you_wish_to_leave_tutorial|Вы хотите выйти из обучения?
str_do_you_wish_to_surrender|Вы хотите сдаться?
str_can_not_retreat|Невозможно отступить. Враги рядом!
str_s1_joined_battle_enemy|{s7} вступают в бой на стороне противника.
str_s1_joined_battle_friend|{s7} вступают в бой на вашей стороне.
str_entrance_to_town_forbidden|Городская стража кого-то усиленно ищет. Похоже, что вам не удастся незаметно пробраться через ворота.
str_sneaking_to_town_impossible|Городские стражники подняли тревогу. Теперь вы не сможете прокрасться в ворота, как бы ни маскировались.
str_battle_won|Вы выиграли битву!
str_battle_lost|Вы проиграли битву!
str_attack_walls_success|После кровавой битвы ваши храбрые воины взяли стены приступом.
str_attack_walls_failure|Ваши бойцы полегли все до единого при попытке взять стены штурмом.
str_attack_walls_continue|Битва была кровавой и обе стороны проявили чудеса храбрости. Несмотря на все усилия ваших воинов, замок все еще в руках врага.
str_order_attack_success|Ваши бойцы храбро сражались, и враг был повержен.
str_order_attack_failure|Вы с отчаянием наблюдали, как враги перебили весь ваш отряд до последнего бойца.
str_order_attack_continue|Ваши воины вступили в бой, но не смогли разбить врага.
str_join_order_attack_success|Ваши солдаты храбро бились бок о бок с союзниками и победили.
str_join_order_attack_failure|Вы с отчаянием наблюдали, как враги перебили весь ваш отряд до последнего бойца.
str_join_order_attack_continue|Ваши солдаты вместе с союзниками вступили в бой, но не смогли одержать победу.
str_siege_defender_order_attack_success|Бойцы гарнизона удерживают свои стены с мастерством и мужеством, сокрушая нападения противника и умело обращая его в бегство.
str_siege_defender_order_attack_failure|Штурм быстро превращается в кровавую бойню. Героические усилия напрасны. Гарнизон не в состоянии удерживать стены, и противник убивает всех защитников до последнего бойца.
str_siege_defender_order_attack_continue|Защитники вместе с союзниками вступили в бой на стенах, но врагов слишком много, чтобы одержать победу. Осада продолжается.
str_hero_taken_prisoner|{s1} из {s3} попал в плен к {s2}.
str_hero_freed|{s2} освободило из плена {s1} из {s3}.
str_center_captured|{s2} захватило {s1} у {s3}.
str_troop_relation_increased|Ваши отношения с {s1} возросли с {reg1} до {reg2}.
str_troop_relation_detoriated|Ваши отношения с {s1} упали с {reg1} до {reg2}.
str_faction_relation_increased|Ваши отношения с {s1} возросли с {reg1} до {reg2}.
str_faction_relation_detoriated|Ваши отношения с {s1} упали с {reg1} до {reg2}.
str_party_gained_morale|Ваш отряд получает {reg1} очков боевого духа.
str_party_lost_morale|Ваш отряд теряет {reg1} очков боевого духа.
str_other_party_gained_morale|{s1} получает {reg1} морали.
str_other_party_lost_morale|{s1} теряет {reg1} морали.
str_qst_follow_spy_noticed_you|Шпион вас заметил! Он сбежал!
str_father|отец
str_husband|муж
str_wife|жена
str_daughter|дочь
str_mother|мать
str_son|сын
str_brother|брат
str_sister|сестра
str_he|Он
str_she|Она
str_s3s_s2|{s3} {s2}
str_s5_is_s51|{s5} это {s51}.
str_s5_is_the_ruler_of_s51|{s5} правитель {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} дворянин {s6}. 
str_relation_mnus_100|Мстительный
str_relation_mnus_90|Мстительный
str_relation_mnus_80|Мстительный
str_relation_mnus_70|Ненавистный
str_relation_mnus_60|Ненавистный
str_relation_mnus_50| Враждебный
str_relation_mnus_40|  Сердитый
str_relation_mnus_30|   Обиженный
str_relation_mnus_20|    Ворчливый
str_relation_mnus_10|     Подозрительный
str_relation_plus_0|         Безразличный
str_relation_plus_10|          Терпимый
str_relation_plus_20|           Солидарный
str_relation_plus_30|            Благоприятный
str_relation_plus_40|             Благосклонный
str_relation_plus_50|              Дружественный
str_relation_plus_60|               Снисходительный
str_relation_plus_70|                Верный
str_relation_plus_80|                 Верный
str_relation_plus_90|                  Преданный
str_relation_mnus_100_ns|{s60} - ваш заклятый враг. (-100)
str_relation_mnus_90_ns|{s60} очень мстителен к вам. (-90)
str_relation_mnus_80_ns|{s60} мстителен к вам. (-80)
str_relation_mnus_70_ns|{s60} злобен по отношению к вам. (-70)
str_relation_mnus_60_ns|{s60} настроен ненавистно к вам. (-60)
str_relation_mnus_50_ns|{s60} настроен враждебно по отношению к вам. (-50)
str_relation_mnus_40_ns|{s60} сердит на вас. (-40)
str_relation_mnus_30_ns|{s60} обижен на вас. (-30)
str_relation_mnus_20_ns|{s60} ворчит против вас. (-20)
str_relation_mnus_10_ns|{s60} подозрителен к вам. (-10)
str_relation_plus_0_ns|{s60} безразличен к вам. (0)
str_relation_plus_10_ns|{s60} солидарен с вами. (+10)
str_relation_plus_20_ns|{s60} приветлив к вам. (+20)
str_relation_plus_30_ns|{s60} благодушен к вам. (+30)
str_relation_plus_40_ns|{s60} благосклонен к вам. (+40)
str_relation_plus_50_ns|{s60} дружелюбен к вам. (+50)
str_relation_plus_60_ns|{s60} милостив к вам. (+60)
str_relation_plus_70_ns|{s60} обожает вас. (+70)
str_relation_plus_80_ns|{s60} верен вам. (+80)
str_relation_plus_90_ns|{s60} предан вам. (+90)
str_relation_reg1| Отношение: {reg1}
str_center_relation_mnus_100|Народ люто вас ненавидит
str_center_relation_mnus_90|Народ яростно вас ненавидит
str_center_relation_mnus_80|Народ сильно вас ненавидит
str_center_relation_mnus_70|Народ ненавидит вас
str_center_relation_mnus_60|Народ ненавистен к вам
str_center_relation_mnus_50|Народ крайне враждебен к вам
str_center_relation_mnus_40|Народ очень враждебен к вам
str_center_relation_mnus_30|Народ враждебен к вам
str_center_relation_mnus_20|Народ против вас
str_center_relation_mnus_10|Народ вас не любит
str_center_relation_plus_0|Народ безразличен к вам
str_center_relation_plus_10|Народ терпим к вам
str_center_relation_plus_20|Народ солидарен с вами
str_center_relation_plus_30|Народ слегка благосклонен к вам
str_center_relation_plus_40|Народ благосклонен к вам
str_center_relation_plus_50|Народ весьма благосклонен к вам
str_center_relation_plus_60|Народ верен вам
str_center_relation_plus_70|Народ очень верен вам
str_center_relation_plus_80|Народ преданно верен вам
str_center_relation_plus_90|Народ отчаянно верен вам
str_town_prosperity_0|Бедность города {s60} невыносима.
str_town_prosperity_1|Улицы города {s60} наполнены отчаявшимися попрошайками и ворами.
str_town_prosperity_2|Город {s60} выглядит очень бедным
str_town_prosperity_3|Город {s60} выглядит бедным и пустынным.
str_town_prosperity_4|Город {s60} выглядит бедным и запущенным.
str_town_prosperity_5|Город {s60} выглядит несколько бедным и запущенным.
str_town_prosperity_6|Город {s60} выглядит непримечательно.
str_town_prosperity_7|Город {s60} выглядит оживленно.
str_town_prosperity_8|Город {s60} бурно развивается.
str_town_prosperity_9|Город {s60} выглядит богато и приятно.
str_town_prosperity_10|Город {s60} выглядит очень богатым и ухоженным.
str_town_prosperity_11|Город {s60} выглядит респектабельным и многолюдным.
str_town_prosperity_12|Город {s60} выглядит невероятно величественным.
str_village_prosperity_0|Нищета и убожество деревни {s60} невыносимы.
str_village_prosperity_1|Деревня {s60} выглядит нищей и жалкой.
str_village_prosperity_2|Деревня {s60} выглядит очень бедной и заброшенной.
str_village_prosperity_3|Деревня {s60} состоит из жалких лачуг, окружена бесплодными полями.
str_village_prosperity_4|Деревня {s60} выглядит бедной и неухоженной.
str_village_prosperity_5|Деревня {s60} выглядит несколько бедно и неприглядно.
str_village_prosperity_6|Деревня {s60} выглядит непримечательно.
str_village_prosperity_7|Деревня {s60} выглядит оживленно.
str_village_prosperity_8|Деревня {s60} выглядит процветающей.
str_village_prosperity_9|Деревня {s60} бурно развивается.
str_village_prosperity_10|Деревня {s60} выглядит богато и приятно.
str_village_prosperity_11|Деревня {s60} выглядит очень богатой и ухоженной.
str_village_prosperity_12|Обширные поля и счастливая культура в {s60} являются предпосылкой хорошего управления, что влечет за собой увеличение плодородия и богатства.
str_town_alt_prosperity_0|Даже редкие оставшиеся в лавках товары не по карману здешним обитателям. Люди истощены, их животные больны и умирают, инструменты и предметы обихода пришли в негодность. На улицах пусто, слышны лишь жужжание мух, да вой бродячих собак.
str_town_alt_prosperity_20|На рынке ворчат о непомерных ценах на обычные вещи, да и сами лавки полупусты. Люди исхудали, их животные истощены, а здания и предметы обихода разваливаются от ветхости. Многие из местных уже покинули отчий дом в надежде на лучшее будущее.
str_town_alt_prosperity_40|На рынке порой ворчат о высоких ценах на повседневные вещи, но товаров в лавках довольно много. Иногда взгляд натыкается на закрытые магазинчики, заколоченные дома и брошенные телеги, но жизнь идет своим чередом.
str_town_alt_prosperity_60|Здешние люди выглядят сытыми и относительно неплохо одеты. Ремесленники трудятся над новыми изделиями, а в город из окрестных сел в поисках лучшей доли стекается народ.
str_town_alt_prosperity_80|Дома, улицы и даже стены этого города чисты и опрятны. На рыночных площадях полно заезжих покупателей, прибывших сюда в поисках товаров и работы. Несмолкаемый перестук молотков и стрекотание ткацких станков говорят о благополучии горожан.
str_village_alt_prosperity_0|Лишь самые сильные земледельцы еще могут выйти на заросшие бурьяном поля. Остальные селяне больны и голодны. Те, кто еще мог передвигаться, предпочли уйти из этих мест. Тощие животные еле дышат и скоро погибнут от голода или будут съедены хозяевами. У околицы и вдоль дорог солнце выбеливает скелеты павшего скота.
str_village_alt_prosperity_20|На полях у деревни можно увидеть малочисленный скот и редкие фигурки селян. Даже пришлому сразу становится ясно, что большинство местных ушли куда глаза глядят. Плуги и бороны покрыты ржавчиной, а земля родит больше сорняков, чем пшеницы.
str_village_alt_prosperity_40|На полях и в садах в бесконечных заботах трудятся люди. Селяне выглядят сытыми, а их животные - здоровыми. Впрочем, некоторые земельные наделы пустуют, а часть домов покосилась. Видно, в деревне не хватает рук, чтобы сделать всю накопившуюся работу.
str_village_alt_prosperity_60|На полях и в садах деревни полно людей, которые трудятся от рассвета до заката. Амбары ломятся от зерна, а риги - от душистого сена. Земля дает хороший урожай, скот тучен, а жители готовы к завтрашнему дню.
str_village_alt_prosperity_80|На полях и в садах деревни полно людей, земельные угодья тут и там прорезают оросительные каналы. Похоже, у здешних жителей хватает времени и сил на то, чтобы облагораживать свои наделы. Вокруг много наемных работников, что только приумножает богатства этой деревни.
str_oasis_village_alt_prosperity_0|Пальмовые рощи выглядят безлюдными, а оросительные каналы оазиса забиты илом. Вы замечаете лишь жалкую горстку изможденных и не находящих себе места людей. Тягловой скот давно съеден или умер с голоду - остались только белые кости, которые разносят по округе дикие шакалы.
str_oasis_village_alt_prosperity_20|Под сенью пальмовых рощиц бродят редкие люди. Песок пустыни волнами накатывает на захиревшие сады. Многие оросительные каналы забиты илом, а питающие их колодцы и ручейки пересохли.
str_oasis_village_alt_prosperity_40|В пальмовых рощах трудятся мужчины и женщины, сбивая на землю созревшие фрукты. Здоровые животные крутят вороты подъемников воды. Впрочем, часть оросительных каналов и водоемов забита илом или нуждается в починке.
str_oasis_village_alt_prosperity_60|В оазисе много пальм, под сенью которых кипит работа. Местные жители трудятся сообща и веселы не без причины. Отовсюду слышны звуки жизни: скрип деревянных подъемников воды, мычание тягловых животных, журчание бегущей воды. Сразу видно, что орошение здесь поставлено на славу.
str_oasis_village_alt_prosperity_80|В оазисе много пальм, под сенью которых кипит работа. Излишек плодов отправляется на рынок. Мужчины и женщины бок о бок занимаются хозяйством, роют новые каналы и колодцы, отвоевывая у пустыни все новые участки земли.
str_acres_grain|акров посевов
str_acres_orchard|акров садов и виноградников
str_acres_oasis|акров орошаемых садов оазиса
str_looms|станков
str_boats|лодок
str_head_cattle|голов коров
str_head_sheep|голов овец
str_mills|мельниц
str_kilns|печей
str_pans|чанов
str_deposits|залежей
str_hives|ульев
str_breweries|пивоварен
str_presses|давилен
str_smithies|кузниц
str_caravans|наземных караванов
str_traps|ловушек
str_gardens|садиков
str_tanneries|дубильных чанов
str_master_miller|Главный мельник
str_master_brewer|Главный пивовар
str_master_presser|Главный давильщик
str_master_smith|Главный кузнец
str_master_tanner|Главный дубильщик
str_master_weaver|Главный ткач
str_master_dyer|Главный красильщик
str_war_report_minus_4|для нас это плохо кончится
str_war_report_minus_3|ситуация совершенно безрадостна
str_war_report_minus_2|у нас довольно сложное положение
str_war_report_minus_1|мы сможем победить, если постараемся
str_war_report_0|наши силы примерно равны
str_war_report_plus_1|у нас хорошие шансы на победу
str_war_report_plus_2|мы в очень выгодном положении
str_war_report_plus_3|у врага практически нет шансов
str_war_report_plus_4|мы непременно победим
str_persuasion_summary_very_bad|Вы начинаете говорить, но внезапно вы чувствуете, как немеет ваш язык. Вас бросает в пот, и вы что-то лепечете, не понимая даже половины того, что говорите. Не удивительно, что {s50} совершенно не впечатлен{reg51?а:} вашей речью.
str_persuasion_summary_bad|Вы пытаетесь убедить {s50}, но {reg51?она:он} ловко уходит от темы разговора, а самые весомые ваши аргументы даже вам кажутся неубедительными.
str_persuasion_summary_average|{s50} оказывается ловким и остроумным оратором, и легко опровергает все ваши аргументы. В конечном счете, ни один из вас не преуспел в убеждении другого.
str_persuasion_summary_good|Вы говорите, используя несколько эффектных фраз, но вашим словам не хватает уверенности и {s50} лишь отчасти вас понимает. {reg51?Она:Он} все еще сомневается в правильности ваших взглядов.
str_persuasion_summary_very_good|Вы преуспели в красноречии, говорите очень гладко, и {s50} внемлет вашим словам. Более того, {reg51?она:он}, судя по всему, даже {reg51?готова:готов} принять вашу точку зрения.
str_secret_sign_1|Шкаф танцует в полночь...
str_secret_sign_2|Я продаю эти прекрасные Д'Шарские гобелены. Не желаете что-нибудь купить?
str_secret_sign_3|Меня прислал друг моего друга...
str_secret_sign_4|Налетел восточный ветер, и река налилась кровью...
str_countersign_1|А вы не подскажете, как пройти в библиотеку?
str_countersign_2|Обязательно, у вас есть что-нибудь синее?
str_countersign_3|Но, мой друг, я не был другом друга вашего друга.
str_countersign_4|Вы что, больны?
str_name_1|Альбард
str_name_2|Юскарл
str_name_3|Сигмар
str_name_4|Талеск
str_name_5|Ритманд
str_name_6|Аэлс
str_name_7|Рурк
str_name_8|Брагамус
str_name_9|Таарл
str_name_10|Рамин
str_name_11|Шалк
str_name_12|Путар
str_name_13|Тамус
str_name_14|Рихад
str_name_15|Валчис
str_name_16|Рульх
str_name_17|Марлунд
str_name_18|Авгурин
str_name_19|Дайнад
str_name_20|Джоайя
str_name_21|Рамар
str_name_22|Калдаран
str_name_23|Брабас
str_name_24|Кундрин
str_name_25|Борис
str_name_26|Томас
str_name_27|Эстрид
str_name_28|Ангус
str_name_29|Тарл
str_name_30|Барак
str_name_31|Харад
str_name_32|Эрегас
str_name_33|Волдор
str_name_34|Энсен
str_name_35|Пилмар
str_name_36|Харрис
str_name_37|Треванир
str_name_38|Робин
str_name_39|Ратмир
str_name_40|Тарис
str_name_41|Мейсон
str_name_42|Янус
str_name_43|Дантон
str_name_44|Карл
str_name_45|Зесар
str_name_46|Гилдрук
str_name_47|Мартин
str_name_48|Лорэн
str_name_49|Самуил
str_name_50|Рантгор
str_name_51|Датувайая
str_name_52|Куру
str_name_53|Шухра
str_name_54|Вахука
str_name_55|Аэдан
str_name_56|Баэдрос
str_name_57|Бритаэль
str_name_58|Сингур
str_name_59|Гриффид
str_name_60|Гурбадо
str_name_61|Лидаэль
str_name_62|Хаман
str_name_63|Мермин
str_name_64|Марнид
str_name_65|Борча
str_name_66|Моргана
str_name_67|Оссун
str_name_68|Ритаэль
str_name_69|Ризмин
str_name_70|Тален
str_name_71|Гийон
str_name_73|Хармонд
str_name_74|Улрис
str_name_75|Рарб
str_name_76|Вернис
str_name_77|Фенгрив
str_name_78|Борис
str_name_79|Борз
str_name_80|Артур
str_name_81|Транцед
str_name_82|Брагии
str_name_83|Ослин
str_name_84|Баран
str_name_85|Барек
str_name_86|Дахан
str_surname_1|{s50} из Ларии
str_surname_2|{s50} из Сарлеона
str_surname_3|{s50} из Цеза
str_surname_4|{s50} из Авендора
str_surname_5|{s50} из Сендерфола
str_surname_6|{s50} из Марлеона
str_surname_7|{s50} из Пэинсбрюка
str_surname_8|{s50} из Равенстерна
str_surname_9|{s50} из Торба
str_surname_10|{s50} из Валонбрея
str_surname_11|{s50} из Виндхольма
str_surname_12|{s50} из Явиксхольма
str_surname_13|{s50} из Рани
str_surname_14|{s50} из Тама
str_surname_15|{s50} Красный
str_surname_16|{s50} Скрытный
str_surname_17|{s50} Тень
str_surname_18|{s50} Лонгхасанк
str_surname_19|{s50} из Барклая
str_surname_20|{s50} из Тосдара
str_surname_21|Длинный {s50}
str_surname_22|Тощий {s50}
str_surname_23|Тонкий {s50}
str_surname_24|Худой {s50}
str_surname_25|Бедный {s50}
str_surname_26|Хромой {s50}
str_surname_27|Красавчик {s50}
str_surname_28|Мрачный {s50}
str_surname_29|Красный {s50}
str_surname_30|Черный {s50}
str_surname_31|Коротышка {s50}
str_surname_32|Ясноглазый {s50}
str_surname_33|Отважный {s50}
str_surname_34|Храбрец {s50}
str_surname_35|Хитрый {s50}
str_surname_36|Робкий {s50}
str_surname_37|Ловкач {s50}
str_surname_38|Быстрый {s50}
str_surname_39|Шутник {s50}
str_surname_40|Дерзкий {s50}
str_surname_41|Забияка {s50}
str_surname_42|Дубощит {s50}
str_surname_43|Чеснок {s50}
str_surname_44|Гора {s50}
str_surname_45|Тридл {s50}
str_surname_46|Вульфгар {s50}
str_surname_47|Тендар {s50}
str_surname_48|Фенланд {s50}
str_surname_49|Вороной {s50}
str_surname_50|Южанин {s50}
str_surname_51|Неженка {s50}
str_surname_53|Саусбридж {s50}
str_surname_54|Нортбридж {s50}
str_surname_55|Шторм {s50}
str_surname_56|Фоксворт {s50}
str_surname_57|Грешем {s50}
str_surname_58|Удрак {s50}
str_surname_59|Копейщик {s50}
str_surname_60|Мечник {s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Убито врагов: {reg1}
str_number_of_troops_wounded_reg1|Ранено врагов: {reg1}
str_number_of_own_troops_killed_reg1|Убито союзников: {reg1}
str_number_of_own_troops_wounded_reg1|Ранено союзников: {reg1}
str_retreat|Отступаем!
str_siege_continues|Бой продолжается...
str_casualty_display|Вы потеряли: {s10}^Враг потерял: {s11}{s12}
str_casualty_display_hp|^Вы были ранены на {reg1}
str_quest_log_updated|Журнал заданий обновлен...
str_banner_selection_text|Вы имеете право выбрать себе знамя. Оно будет символом вашей принадлежности к знати Пендора и прибавит уважения. Какое знамя вы хотели бы выбрать?
str_retirement_text_1|Вы устали от борьбы в боях Пендора, и ваши старые раны беспокоили вас в эти дни. Вы потратили слишком много денег на войска и снаряжение в молодости, но давно уже продали ваши доспехи и оружие, и остались практически без гроша. Но дружественный вам лорд {s9}, сжалившись над вами, разрешает вам чистить его конюшни и двор. Дни вашей славы кончились, и вы более не говорите о них, хотя у вас все еще остаются воспоминания. Довольно малая компенсация за те годы сражений за проигранное дело. Вы держите это при себе, потому что никому не интересны бредни наполовину искалеченного конюха, который когда-то был солдатом.
str_retirement_text_2|Вы всегда жили сегодняшним днем и редко думали о завтрашнем, полагая, что будете убиты в бою за долго до того, как станете слишком старым, чтобы сражаться. Когда ваши деньги кончились, вы присоединились к Красному братству как мелкий бандит и теперь на побегушках перед теми, кого вы когда-то продавали на галеры. Иногда вы отражаете горькую иронию вашей теперешней жизни. Ваши когда-то высокие идеалы ушли с тех пор, как вы начали грабить тех, кого вы защищали. Вы скатываетесь глубоко в жизнь криминала и жестокости. Ваша жизнь заканчивается на виселице за убийство, и вы смеетесь, когда палач {s9} затягивает на вашей шее петлю.
str_retirement_text_3|Прошло много дней с тех пор, как вы {s13}, хотя вы по-прежнему сохраняете привычки ваших прошлых дней. Ваши войска покинули вас или умерли в боях. Вы пьете и дрейфуете от таверны к таверне, докучая всех рассказами о ваших былых победах. Время от времени кто-то узнает вас, но ваша бывшая слава хороша только для бесплатной выпивки от тех, кто помнит, кем вы когда-то были.
str_retirement_text_4|Вы наконец-таки поняли, что устали от войны и уехали в деревеньку {s7}, которую вы однажды спасли от бандитов. Благодарные жители приняли вас как своего, вы посвятили себя обучению деревенского ополчения и немного сельскому хозяйству. Вы {reg63?взяли в жены деревенскую девушку:взяли в мужья деревенского парня} и пополнили количество детей в этой деревне, которые любят слушать ваши рассказы о героических победах в битвах и врагах, поверженных вами. Вы сердитесь на своего старшего сына, который хочет стать солдатом. Последние свои дни вы провели, будучи старостой деревни, сея вокруг себя мир и счастье, которые вы в свое время обрели в {s7}.
str_retirement_text_5|Когда однажды оказалось, что огромная сумма динаров быстро испаряется, но у вас достаточно награбленного чтобы купить таверну в {s9}. Вы улыбаетесь, вспоминая, что купили ее уже дважды, когда однажды заплатили хорошую сумму бывшему хозяину за погром, учиненный вашими людьми в той самой таверне. Люди из гарнизона {s9} опекают вашу таверну и наслаждаются вашими рассказами о победоносных сражениях с превосходящими силами противника, хоть и принимают их с недоверием. Ваша прибыль растет, и вы расширяете свою недвижимость, включая в нее банкетный и свадебный залы. Ваша гостиница известна во всем Пендоре, и теперь вы еще более успешный хозяин, даже чем когда вы были {s13}.
str_retirement_text_6|Когда вы бились по всем широтам и далям Пендора как {s13}, вы торговали между городами и деревнями, обнаружив, что вы хороший предприниматель. Вы сражались со многими врагами, {s15} и вкладывали свой доход в торговлю с {s9}, чьи караваны вы однажды сопровождали. Теперь у вас несколько собственных складов в {s9}, ваши караваны пересекают Пендор, а ваши суда перевозят тяжелые грузы в Барклай и обратно. Вы {reg63?женились на дочери:вышли замуж за сына} вашего торговца и обучили своих детей как маленьких торговцев. Иногда, за вином, вы, угощая своих клиентов и партнеров, рассказываете истории о вашем боевом прошлом, но эти воспоминания увядают. Успех вашей торговой династии надолго переживет вашу славу как {s13}.
str_retirement_text_7|Хотя вы пришли в Пендор нищим искателем приключений, ваши успехи в боях сделали вас богатым. Вы владеете собственным городом {s9} и оказались способным администратором. Умело отдаете распоряжения и внимательно наблюдаете за подчиненными. Ваши владения преуспевают и хорошо платят налоги, которые вы сделали низкими для поддержки инвестиций. Ваши вложения окупились, и вы - известн{reg63?ый лорд:ая леди} в Пендоре. Когда вам нужно ехать на войну, вы снова чувствуете себя молодым, и оружие вновь волнует вашу кровь. Тем не менее, вам больше нравится разрешать торговые споры, чем вести войну. В общем, вы вполне довольны своей судьбой и не собираетесь уходить на покой.
str_retirement_text_8|Несмотря на то, что вас прозвали спасителем пророчества Мадигана, вам не удалось объединить весь Пендор под своим знаменем. Вы почитаемы как великий герой Пендора, отбивший множество нападений вторгавшихся армий, {s15}, чьи войны разорвали Пендор на куски. Мир наполняет Пендор, и вы имеете дело с теми, кто внезапно нарушает его. Вы осторожны, чтобы остаться в хороших отношениях с ваши вассалами, и ваши соседние короли бдительны против будущих угроз Пендору. Не имея склонности к управлению, вы оставили {s8} и наградили ваших верных компаньонов и вассалов. Иногда вы собираетесь все вместе и говорите о старых днях, вспоминая свои старые подвиги, но все согласны, что мир лучше, чем постоянная война ваших первых лет в Пендоре.
str_retirement_text_9|Несмотря на то, что вас приветствовали как спасителя пророчества Мадигана, вам не удалось объединить весь Пендор под своим знаменем. Вы сражались и победили полчища вторгавшихся армий, {s15} но вы не стали {reg63?королем:королевой} всего Пендора. Ваши владения огромны и вы богато вознаграждены за ваши смелые мечты. Лорды, которые когда-то смеялись над вами, теперь заискивают перед вами. Вы, опередив их, имеете репутацию эффективного управленца, смертельно опасного для обидчиков. Вы правите своими владениями твердой рукой и редко думаете о ваших бедных буднях солдата.
str_retirement_text_10|Весь Пендор в ваших руках и каждый славит спасителя Мадигана, пророчившего спасение Пендора. Вы повергли все вторгшиеся армии, наваляли всем жадным и властолюбивым лордам, простым рыцарям и претендентам. Ваши малейшие пожелания - приказ, и ваше слово абсолютный закон по всей земле. К счастью, вы как честный и справедливый, никогда не злоупотребляли своим положением. Вы всегда помните свое скромное прошлое, но теперь любая мыслимая роскошь доступна, стоит только попросить. Вы решительно награждаете лояльных и наказываете проступки, за что люди любят вас. Тем не менее, вы знаете, как легко потерять трон, и никогда не ослабляете бдительности. Иногда вы стоит на вершине своего замка и вглядываетесь на юг, размышляя, что будет дальше с Пендором.
str_loot_village| напали на безобидных крестьян
str_steal_from_villagers| обокрали бедных крестьян
str_rob_caravan| ограбили торговый караван
str_sell_slavery| продали людей в рабство
str_men_hungry| позволили нашему отряду остаться без продовольствия
str_men_unpaid| не заплатили людям
