qstr_Next_Page|Следующая страница
qstr_Companions_Lost/Depa|Компаньонов потеряно/ушло: {reg0}
qstr_Wealth:_{reg0}_denar|Состояние: {reg0} динаров
qstr_Inventory:_{reg0}_de|Имущество: {reg0} динаров
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Пропущено дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|ОБЩИЙ ИТОГ: {reg0}
qstr_the_{s15}|{s15}
qstr_the_{s16}_and_{s15}|{s16} и {s15}
qstr_the_{s16}_{s15}|{s16}, {s15}
qstr__conquered_{s15}|завоевано {s15},
qstr_self_proclaimed_{reg|самопровозглашен{reg63?ный король:ная королева}
qstr_minor_lord|вассал
qstr_mercenary_captain|капитан наемников
qstr_None|Нет
qstr_{s4}_s_achievements_|Достижения {s4} после {reg5} дней приключений.
qstr_Deathbringer|Несущий смерть
qstr__killed_{reg0}_enemi|(убито {reg0} противников за один бой)
qstr_Masterful_Warrior|Грозный воин
qstr__{reg0}_enemies_kill|({reg0} врагов убито или ранено)
qstr_Legendary_Warrior|Легендарный воин
qstr_Battle_Master|Боевой мастер
qstr__won_{reg0}_victorie|(одержано {reg0} побед)
qstr_Great_General|Великий полководец
qstr_Defender_of_Pendor|Защитник Пендора
qstr__defeated_{reg0}_her|(повержено {reg0} героев)
qstr_Guardian_of_Pendor|Страж Пендора
qstr_Bane_of_Vejovis|Гроза Вежовиса
qstr__wiped_out_a_Mystmou|(уничтожил{reg63?:а} армию Мглистых гор)
qstr_Cult_Banisher|Изгнанник культа
qstr__wiped_out_a_Snake_C|(уничтожил{reg63?:а} армию культа Змеи)
qstr_Scourge_of_Jatu|Каратель Джату
qstr__wiped_out_a_Jatu_ar|(уничтожил{reg63?:а} армию Джату)
qstr_Purger_of_Heresy|Чистильщик Еретиков
qstr__wiped_out_a_Heretic|(уничтожил{reg63?:а} армию Еретиков)
qstr_Arena_Survivor|Выживший арены
qstr__won_in_{reg0}_tourn|(выиграно {reg0} турниров)
qstr_Tournament_Champion|Победитель турнира
qstr_{reg63?Hero:Heroine}|{reg63?Герой:Героиня} Пендора
qstr__gained_{reg0}_renow|(получено {reg0} славы)
qstr_{reg63?Lion:Lioness}|{reg63?Лев:Львица} Пендора
qstr_Chevalier_of_Pendor|Рыцарь Пендора
qstr__gained_{reg0}_honor|(получено {reg0} чести)
qstr_Rogue_{reg63?King:Qu|{reg63?Король:Королева} отступников
qstr__declared_a_sovereig|(объявлено суверенное королевство)
qstr_Great_Persuader|Мастер убеждения
qstr__persuaded_{reg0}_lo|(убеждено {reg0} лордов присоединиться к королевству)
qstr_Master_Builder|Умелый строитель
qstr__built_{reg0}_improv|(построено {reg0} улучшений)
qstr_Competent_Aide|Знающий помощник
qstr__completed_{reg0}_qu|(завершено {reg0} квестов)
qstr_Epitome_of_Ineptitud|Воплощение глупости
qstr__failed_{reg0}_quest|(провалено {reg0} квестов)
qstr_Slippery_Fellow|Ушлый парень
qstr__captured_{reg0}_tim|(захвачено {reg0} раз)
qstr_Caravan_Marauder|Грабитель караванов
qstr__raided_{reg0}_carav|(ограблено {reg0} караванов)
qstr_Village_Plunderer|Разоритель деревень
qstr__raided_{reg0}_villa|(ограблено {reg0} деревень)
qstr_Blatant_Deceiver|Страшный обманщик
qstr__cheated_in_battle_|(обмануто в бою)
qstr_Order_Grandmaster|Грандмастер ордена
qstr__became_a_leader_of_|(стать лидером рыцарского ордена)
qstr_More.|Далее.
qstr_Back.|Назад.
qstr_You_have_been_awarde|Вы получили достижение!
qstr_Continue.|Продолжить.
qstr_A_Knighthood_Order_c|Основан капитул рыцарского ордена.
qstr_{s11}_of_the_{s12}_h|{s11} из {s12} основал капитул ордена {s13} в {s14}.
qstr_Pendor_:__Conquered_|Пендор: Завоеван {s11}.
qstr_The_{s11}_has_defeat|{s11} победил всех соперников и остался единственным королевством. Пророчество Мадигана исполнилось!^^Создана альтернативная вероятность.
qstr_Pendor_:__Conquered_b|Пендор :  завоеван одним королевством.
qstr_{s11}_has_defeated_a|{s11} победил всех соперников и остался единственным королевством. Пророчество Мадигана исполнилось!^^Создана альтернативная вероятность.
qstr_Factions|Страны
qstr_Show_towns|Показать города
qstr_Show_castles|Показать замки
qstr_Show_villages|Показать деревни
qstr_Tip:_move_the_mouse_|Совет: переместите мышь на черные блоки, чтобы показать названия.
qstr_The_World_Map|Карта мира
qstr_Done|Готово
qstr_P_o_P___O_p_t_i_o_n_|РОР О П Ц И И
qstr_Scroll_down_for_more|Прокрутите вниз, чтобы увидеть больше опций
qstr_Battle_options|Опции битвы
qstr_Battlefield_size_|Размер битвы
qstr_830x830m|830x830м
qstr_550x550m|550x550м
qstr_240x240m|240x240м
qstr_Adaptive|Адаптивный
qstr_Battle_reinforcement|Волны подвкреплений в битве: 
qstr_Unlimited|Бесконечные
qstr_18|18
qstr_16|16
qstr_14|14
qstr_12|12
qstr_10|10
qstr_8|8
qstr_6|6
qstr_4|4
qstr_2|2
qstr_Siege_reinforcement_|Волны подкреплений в осаде:
qstr_36|36
qstr_32|32
qstr_28|28
qstr_24|24
qstr_20|20
qstr_Enhanced_horse_arche|Улучшен AI конных лучников
qstr_Disabled|Отключить
qstr_NPCs_only|Только НПС
qstr_All_units|Все юниты
qstr_Garrison_left_by_AI_|Гарнизон, который оставит ИИ в захваченном феоде
qstr_Large__default_|Большой (по умолчанию)
qstr_Medium|Средний
qstr_Small|Маленький
qstr_Disable_troop_routin|Отключение маршрутизации войск:
qstr_Enable_Formations_|Включить формации
qstr_Battle_interface|Боевой экран
qstr_Show_personal_kill_c|Показ числа убитых лично
qstr_Battle_ratio_bar_|Полоса соотношения сил
qstr_shows_proportion_of_|показывает число живых солдат сражающихся
qstr_Ratio_bar_shows_rese|Полоса учитывает резерв
qstr_reports_global_battl|отчет общих боевых сил, включая подкрепления
qstr_Display_a_message_on|Показ сообщения о смерти союзника
qstr_best_with__report_ca|лучше с "отчетом о потерях" убрать галку
qstr_Display_a_message_on_|Показ сообщения об убийстве игрока
qstr_Miscellaneous|Разное
qstr_Fade_from_black_|Привыкание зрения
qstr_when_entering_a_room|при входе в комнату
qstr_Lords_don_t_bring_fi|Лорды не приносят феодов при присоединении к игроку
qstr_No_auto_defections_|Нет авто-дезертирства
qstr_Village_requests_in_|Квесты от деревень только в уведомлениях:
qstr_Village_attacks_in_n|Атаки деревень только в уведомлениях:
qstr_Important_news_only_|Только важные новости
qstr_Play_companion_dialo|Играть диалоги компаньонов: 
qstr_Reinforcement_waves_|Волны подкреплений для битв установлены: {reg0}
qstr_Reinforcement_waves_f|Волны подкреплений для осад установлены: {reg0}
qstr_Others|Другие
qstr_KOs_Knights|Рыцари Ордена
qstr_KOs_Sergeants|Сержанты Ордена
qstr_Mercenaries|Наемники
qstr_Adventurers|Искатели приключений
qstr_Kingdom_of_Pendor|Королевство Пендор
qstr_Close|Закрыть
qstr_Click_the_avatars_to|Нажмите на аватар, чтобы увидеть детали
qstr_Level:_{reg3}^Health|Уровень: {reg3}^Здоровье: {reg4}
qstr_Attributes|Атрибуты
qstr_STR^AGI^INT^CHA|СИЛ^ЛОВ^ИНТ^ХАР
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Умения
qstr_Ironflesh^Power_Stri|Железная кожа^Сильный удар^Сильный бросок^Сильный выстрел^Щиты^Атлетика^Езда верхом^Стрельба верхом
qstr_Proficiencies|Навыки
qstr_1H_Weapons^2H_Weapon|Одноручное^Двуручное^Древковое^Луки^Арбалеты^Метательное
qstr_Equipment|Снаряжение
qstr_0_kills|0 убитых
qstr_{reg3}_kill|{reg3} убил
qstr_{reg3}_kills|{reg3} убили
qstr_{s1}_of_the_{s3}_was|{s1} из {s3} проиграл битву, но сумел сбежать.
qstr_The_{s2}_have_sacked|{s1} отбил атаку {s2}.
qstr_{s54}_is_a_claimant_|{s54} претендует на престол {s56}.
qstr_no_holdings|нет владений
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} около {s52}
qstr_{s51}_belongs_to_{s1|{s51} принадлежит {s1} из {s2}.^
qstr_{s2}There_is_a_chapt|{s2} Здесь располагается капитул {s1}. ^
qstr_{s2}Garrison_trainin|{s2}Обучение гарнизона включено.^
qstr_{s2}Garrison_training|{s2}Обучение гарнизона выключено.^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2}Не имеет деревень.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Имеет деревни:Имеет деревню} {s8}.^
qstr_{s2}Its_prosperity_i|{s2} Процветание: {s50}
qstr_noone|никого
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s5}_has_been_defeat|{s5} был побежден!
qstr_{s7}_opened_the_gate|{s7} открыл ворота
qstr_{s7}_closed_the_gate|{s7} закрыл ворота
qstr_+{reg1}_to_party_mor|+{reg1} к боевому духу
qstr_Requires_{reg1}_inte|Требует {reg1} очков интеллекта
qstr_Reading_Progress:_{r|Прочитано: {reg1}%
qstr_Improves_Noldor_rela|Повышает отношения с Нолдорами
qstr_Quest_item|Квестовые предметы
qstr_wound_treatment|перевязке ран
qstr_trainer|тренеру
qstr_surgery|хирургии
qstr_+2_to_{s1}_while_in_|+2 к {s1}, пока находится в инвентаре
qstr_+1_to_{s1}_while_in_|+1 к {s1}, пока находится в инвентаре
qstr__interesting_to_Orde|(интересует ордена)
qstr_Missile_speed:_{reg3|Скорость полета при выстреле: {reg33}
qstr_Upgrade_cost:_{reg0}|Цена повышения: {reg0}
qstr_Time_to_upgrade:_{re|Время до повышения: {reg1} дней
qstr_Move_here|Направиться
qstr_View_notes|Информация
qstr_Unstick_from_River|Вытащить из реки
qstr_Accompany|Сопровождение
qstr_Party_strength:_{reg|Сила группы: {reg0}
qstr_killed|убитых
qstr_wounded|раненых
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ИТОГО: {reg3} ({s2})
qstr_^None|^Нет
qstr_nothing|ничего
qstr_{reg0}_village{reg1?|{reg0} деревн{reg1?и:я}
qstr_{reg0}_castle{reg1?s|{reg0} зам{reg1?ка:ок}
qstr_{reg0}_castle{reg1?s:|{reg0} зам{reg1?ка:ок} и {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} город{reg1?а:}
qstr_{reg0}_town{reg1?s:}_|{reg0} город{reg1?а:} и {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} город{reg1?а:}, {s0}
qstr_Your_opponents_are_r|Ваши противники готовы к бою.
qstr_Try_to_destroy_as_ma|Попробуйте уничтожить как можно больше целей. У вас есть две с половиной минуты.
qstr_Stay_behind_the_line|Встаньте перед линией и стреляйте в цели. Постарайтесь не промахнуться.
qstr_Battle_Advantage_=_{|Перевес = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} просит вас сопровождать его армию до особого распоряжения.
qstr_{s0}_fails_to_bring_|{s0} не смог добавить вашей фракции никаких земельных наделов!
qstr_{s4}_is_awarded_to_{|{s4} награжден {s5} из {s6}.
qstr_From_now_{s4}_belong|Теперь {s4} принадлежит {s5} из {s6}.
qstr__Word_reaches_you_th| До вас дошли слухи, что Мереган Кирлик собрал компанию искателей приключений Меча Грифона под знаменем Короля Ульрика!
qstr__Word_reaches_you_tha| До вас дошли слухи, что Кодан Железный Меч собрал дворян и рыцарей и присоединился к Королю Ульрику!
qstr__Word_reaches_you_that| До вас дошли слухи, что Ульрик, Король Сарлеона, нанял компанию наемников!
qstr__Word_reaches_you_that_| До вас дошли слухи, что Ульрик, Король Сарлеона, нанял компанию наемников из Меттенхайма!
qstr__Word_reaches_you_Sy| До вас дошли слухи, что Сила Узас, знаменитый Бессмертный воин Империи, собрал маленькую армию ветеранов-легионеров и присоединился к Королю Ульрику!
qstr__Word_reaches_you_that_K| До вас дошли слухи, что Ульрик, Король Сарлеона, нанял виккавийскую наемную компанию!
qstr__Word_reaches_you_that_Ki| До вас дошли слухи, что Король Равенстерна, Грегори IV нанял Фрейбруедеров!
qstr__Word_reaches_you_that_Kin| До вас дошли слухи, что Король Равенстерна, Грегори IV нанял отступников Виккавии!
qstr__Word_reaches_you_that_King| До вас дошли слухи, что Король Ульрик из королевства Сарлеон нанял Гвардейский полк Барклая!
qstr__Word_reaches_you_that_King_| До вас дошли слухи, что Король Ульрик из королевства Сарлеон нанял Экспедицию Сарно!
qstr__Word_reaches_you_that_King_U| До вас дошли слухи, что Король Ульрик из королевства Сарлеон нанял Первый баннерет Марлеона!
qstr__Word_reaches_you_that_King_Ul| До вас дошли слухи, что Король Ульрик из королевства Сарлеон нанял бригаду Снежных Львов!
qstr__Word_reaches_you_that_King_Ulr| До вас дошли слухи, что Король Ульрик из королевства Сарлеон нанял компанию рыцарей Единорога!
qstr__Word_reaches_you_that_King_Ulri| До вас дошли слухи, что Король Ульрик из королевства Сарлеон нанял Свободную компанию!
qstr__Word_reaches_you_that_O| До вас дошли слухи, что Освальд де Флер собрал все свои компании искателей приключений и присоединился к Королю Грегори IV!
qstr__Word_reaches_you_that_B| До вас дошли слухи, что Борис-Ворон собрал компанию рыцарей Вороного Копья и присоединился к Королю Грегори IV!
qstr__Word_reaches_you_that_Ko| До вас дошли слухи, что Кодан Железный Меч собрал дворян и рыцарей и присоединился к Королю Грегори IV!
qstr__Word_reaches_you_that_King_G| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял компанию наемников!
qstr__Word_reaches_you_that_King_Gr| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял войска ярлов Ванскерри!
qstr__Word_reaches_you_that_King_Gre| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял Фрейбруедеров!
qstr__Word_reaches_you_that_King_Greg| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял отступников Виккавии!
qstr__Word_reaches_you_that_King_Grego| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял Гвардейский полк Барклая!
qstr__Word_reaches_you_that_King_Gregor| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял Экспедицию Сарно!
qstr__Word_reaches_you_that_King_Gregory| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял компанию рыцарей Единорога!
qstr__Word_reaches_you_that_King_Gregory_| До вас дошли слухи, что Король Грегори IV из королевства Равенстерн нанял Свободную компанию!
qstr__Word_reaches_you_that_Bu| До вас дошли слухи, что Берилджи Узурпатор собрал армию и сражается на стороне Кадан Бахадур Хан!
qstr__Word_reaches_you_that_Ka| До вас дошли слухи, что Кадан Бахадур Хан нанял компанию сингалийских наемников!
qstr__Word_reaches_you_that_Kad| До вас дошли слухи, что Кадан Бахадур Хан нанял компанию наемников из Меттенхайма!
qstr__Word_reaches_you_Syl| До вас дошли слухи, что Сила Узас, знаменитый Бессмертный воин Империи, собрал маленькую армию ветеранов-легионеров и присоединился к Кадан Бахадур Хану!
qstr__Word_reaches_you_that_Kada| До вас дошли слухи, что Кадан Бахадур Хан нанял войска ярлов Ванскерри!
qstr__Word_reaches_you_that_Kadan| До вас дошли слухи, что Кадан Бахадур Хан нанял военачальников Джату в компанию наемников!
qstr__Word_reaches_you_that_Kadan_| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял Фрейбруедеров!
qstr__Word_reaches_you_that_Kadan_B| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял отступников Виккавии!
qstr__Word_reaches_you_that_Kadan_Ba| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял Гвардейский полк Барклая!
qstr__Word_reaches_you_that_Kadan_Bah| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял Экспедицию Сарно!
qstr__Word_reaches_you_that_Kadan_Baha| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял компанию сингалийских работорговцев!
qstr__Word_reaches_you_that_Kadan_Bahad| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял Избранников Индара!
qstr__Word_reaches_you_that_Kadan_Bahadu| До вас дошли слухи, что Кадан Бахадур хан из ханства Д'Шар нанял Свободную компанию!
qstr__Word_reaches_you_that_Bur| До вас дошли слухи, что Берилджи Узурпатор собрал армию и сражается на стороне Конунг Валдиса!
qstr__Word_reaches_you_that_M| До вас дошли слухи, что Мереган Кирлик собрал компанию искателей приключений Меча Грифона под знаменем Конунг Валдиса!
qstr__Word_reaches_you_that_Kon| До вас дошли слухи, что Конунг Валдис нанял компанию наемников из Меттенхайма!
qstr__Word_reaches_you_that_Koni| До вас дошли слухи, что Конунг Валдис нанял войска ярлов Ванскерри!
qstr__Word_reaches_you_that_Konin| До вас дошли слухи, что Конунг Валдис нанял виккавийскую наемную компанию!
qstr__Word_reaches_you_that_Koning| До вас дошли слухи, что Конунг Валдис нанял военачальников Джату в компанию наемников!
qstr__Word_reaches_you_that_Koningu| До вас дошли слухи, что Конунг Валдис нанял компанию конкистадоров Барклая!
qstr__Word_reaches_you_that_Koningur| До вас дошли слухи, что Конунг Валдис из Фирдсвейна нанял Фрейбруедеров!
qstr__Word_reaches_you_that_Koningur_| До вас дошли слухи, что Конунг Валдис из Фирдсвейна нанял отступников Виккавии!
qstr__Word_reaches_you_that_Koningur_V| До вас дошли слухи, что Конунг Валдис из Фирдсвейна нанял Гвардейский полк Барклая!
qstr__Word_reaches_you_that_Koningur_Va| До вас дошли слухи, что Конунг Валдис из Фирдсвейна нанял Экспедицию Сарно!
qstr__Word_reaches_you_that_Koningur_Val| До вас дошли слухи, что Конунг Валдис из Фирдсвейна нанял Избранников Индара!
qstr__Word_reaches_you_that_Koningur_Vald| До вас дошли слухи, что Конунг Валдис из Фирдсвейна нанял Свободную компанию!
qstr__Word_reaches_you_that_Os| До вас дошли слухи, что Освальд де Флер собрал все свои компании искателей приключений и присоединился к Императору Мариусу!
qstr__Word_reaches_you_that_Bo| До вас дошли слухи, что Борис-Ворон собрал компанию рыцарей Вороного Копья и присоединился к Императору Мариусу!
qstr_Word_reaches_you_tha| До вас дошли слухи, что Император Мариус нанял конкистадоров Барклая в компанию наемников!
qstr__Word_reaches_you_that_Kod| До вас дошли слухи, что Кодан Железный Меч собрал дворян и рыцарей и присоединился к Императору Мариусу!
qstr__Word_reaches_you_that_Ma| До вас дошли слухи, что Император Мариус нанял Фрейбруедеров!
qstr__Word_reaches_you_that_S| До вас дошли слухи, что Шейх Шалаван объединил воинов пустыни и сражается под флагом Кадан Бахадур Хана!
qstr_Word_reaches_you_that| До вас дошли слухи, что Император Мариус нанял компанию наемников!
qstr__Word_reaches_you_that_Mar| До вас дошли слухи, что Император Мариус нанял отступников Виккавии!
qstr__Word_reaches_you_that_Mari| До вас дошли слухи, что Император Мариус нанял Гвардейский полк Барклая!
qstr__Word_reaches_you_that_Mariu| До вас дошли слухи, что Император Мариус нанял Экспедицию Сарно!
qstr__Word_reaches_you_that_Marius| До вас дошли слухи, что Император Мариус нанял Избранников Индара!
qstr__Word_reaches_you_that_Marius_| До вас дошли слухи, что Император Мариус нанял Свободную компанию!
qstr_Word_reaches_you_that_| До вас дошли слухи, что Император Мариус нанял военачальников Джату в компанию наемников!
qstr_{s1}_Merchant_Carava|Торговый караван из {s1}
qstr__Being_Raided_|(Идет грабеж)
qstr__Looted_|(Ограблено)
qstr__Under_Siege_|(В осаде)
qstr_The_village_of_{s1}_|{s2} ограбил деревню {s1}.
qstr_{s3}_is_no_longer_un|{s3}: осада снята.
qstr_Small_bands_of_enemi|Замечены малые отряды врагов около {s1}.
qstr_Enemy_patrols_spotte|Замечены вражеские патрули около {s1}.
qstr_Medium_sized_group_o|Замечен средних размеров вражеский отряд около {s1}. 
qstr_Significant_group_of|Замечен большой вражеский отряд около {s1}.
qstr_Army_of_enemies_spot|Замечена армия врагов около {s1}.
qstr_Large_army_of_enemie|Большая армия врагов замечена около {s1}.
qstr_Great_host_of_enemie|Огромное вражеское войско замечено около {s1}.
qstr_{s1}_has_been_besieg|{s2} из {s3} осадил {s1}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} новый маршал {s2}.
qstr_You_gained_{reg12}_r|Вы получили {reg12} известности.
qstr_You_lose_{reg12}_ren|Вы потеряли {reg12} известности.
qstr_Your_relation_with_{|Ваши отношения с {s1} улучшились.
qstr_Your_relation_with_{s|Ваши отношения с {s1} ухудшились.
qstr_You_have_broken_the_|Вы нарушили контракт наемника.
qstr_You_gain_honor.|Вы получаете очки чести.
qstr_You_lose_honor.|Вы теряете очки чести.
qstr_The_{s1}_declared_wa|{s1} объявили войну {s2}.
qstr_The_{s1}_and_the_{s2|{s1} и {s2} заключили мир.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{reg4?была:был}:находится} в {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?{reg4?шла:шел}:идет} в {s3} и {reg3?:теперь} {reg3?{reg4?была:был}:находится} возле {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?{reg4?была:был}:сейчас} в походе и {reg3?{reg4?находилась:находился}:находится} возле {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?{reg4?была:был}:сейчас} в плену у {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?{reg4?была:был}:сейчас} в плену у своих врагов.
qstr_{reg3?{s2}_s_locatio|{reg3?Неизвестно, где находится {s2}:Я не знаю, где {s2}}.
qstr_{s6}_has_joined_your|{s6} присоединяется к отряду
qstr_You_now_owe_{reg2}_d|Вы должны {reg2} динаров {s1}.
qstr_Renown_value_for_thi|Рейтинг битвы: {reg8}.
qstr_You_have_run_into_a_|Вы попали в засаду!
qstr_You_are_attacked_by_|На вас напала шайка бандитов!
qstr_Holding|Стоят
qstr_Following|Следуют
qstr_Charging|Атакуют
qstr_Advancing|Наступают
qstr_Falling_Back|Отступают
qstr_Standing_Closer|Смыкаются
qstr_Spreading_Out|Размыкаются
qstr_Standing|Стоят
qstr_N/A|N/A
qstr_Free|По умолч.
qstr_Any_Weapon|Любое оружие
qstr_Blunt_Weapons|Тупое оружие
qstr_{s1}_Farmers|Фермеры из {s1}
qstr_{s1}_Rebels|{s1} Мятежники
qstr_Given_by:_{s62}|Задание дал: {s62}
qstr_Given_on:_{s60}|Дата получения: {s60}
qstr_You_have_{reg0}_days|У вас {reg0} дней до завершения задания.
qstr_This_quest_has_been_|Задание выполнено. {s59} ждет вас с докладом.
qstr_This_quest_has_been_s|Задание успешно завершено. {s59} ждет вас для вручения награды.
qstr_This_quest_has_faile|Задание провалено. {s59} ждет ваших объяснений.
qstr_At_the_time_quest_wa|На момент получения задания^{s1}
qstr_{s5}_has_a_strength_|{s5} в целом располагает силами {reg1} человек.
qstr_The_last_time_you_sa|Последний раз {reg1?ее:его} видели, {s1}
qstr_The_last_time_you_he|Последний раз о {reg1?ней:нем} слышали, {s1}
qstr_Current_garrison_con|В гарнизоне {reg5} человек.^Провизии на {reg6} дней.
qstr_Impoverished|Обедневший
qstr_Extremely_Poor|Чрезвычайно бедный
qstr_Very_Poor|Очень бедный
qstr_Poor|Бедный
qstr_Very_Neglected|Совершенно заброшенный
qstr_Neglected|Заброшенный
qstr_Below_Average|Ниже среднего
qstr_Average|Обеспеченный
qstr_Above_Average|Выше среднего
qstr_Prosperous|Преуспевающий
qstr_Wealthy|Состоятельный
qstr_Rich|Богатый
qstr_Opulent|Процветающий
qstr_Loyal|Лояльные
qstr_Devoted|Преданные
qstr_Fond|Теплые
qstr_Gracious|Добрые
qstr_Friendly|Дружеские
qstr_Supportive|Благосклонные
qstr_Favorable|Благоприятные
qstr_Cooperative|Согласные
qstr_Accepting|Терпимые
qstr_Indifferent|Безразличные
qstr_Wary|Осторожные
qstr_Suspicious|Подозрительные
qstr_Hostile|Враждебные
qstr_Resentful|Обиженные
qstr_Angry|Сердитые
qstr_Hateful|Ненавистные
qstr_Revengeful|Мстительные
qstr_Vengeful|Невыносимые
qstr_{s1}_Militia_Patrol|Патруль ополчения {s1}
qstr_Red_Brotherhood_from|Красное братство из {s1}
qstr_Red_Brotherhood_Thie|Воры Красного братства
qstr_Rogue_Red_Brotherhoo|Разбойники Красного братства
qstr_Red_Brotherhood_Slav|Работорговцы Красного братства
qstr_Singalian_Slavers|Сингалийские работорговцы
qstr_Singalian_Raiders|Сингалийские рейдеры
