dlga_magic_azziz_a3:close_window|Эй! Ты! Просыпайся, старпер!
dlga_start:close_window.4|Э...? Вы...снова...без вина? НЕТ ВИНА??? Тогда прощай!
dlga_start:magic_azziz_7|А? Снова ты... А что у тебя еще есть?
dlga_magic_azziz_7:magic_azziz_9|Может быть...взгляните на мои вещи. ^^^^^ (предмет должен быть не экипирован и находиться в инвентаре, необходим Куалис и большой мешочек с драгоценностями)
dlga_magic_azziz_9:magic_azziz_8|А? Позволь мне взглянуть что я могу сделать... ^^Хм... Я могу вставить драгоценный камень в специальное гнездо в твоем оружии.
dlga_magic_azziz_8:close_window|Вставить сапфир в рунный топор.
dlga_magic_azziz_8:close_window.1|Вставить рубин в рунный топор.
dlga_magic_azziz_8:close_window.2|Вставить изумруд в рунный топор.
dlga_magic_azziz_8:close_window.3|Вставить сапфир в рунную глефу.
dlga_magic_azziz_8:close_window.4|Вставить рубин в рунную глефу.
dlga_magic_azziz_8:close_window.5|Вставить изумруд в рунную глефу.
dlga_magic_azziz_8:close_window.6|Вставить сапфир в рунный меч.
dlga_magic_azziz_8:close_window.7|Вставить рубин в рунный меч.
dlga_magic_azziz_8:close_window.8|Вставить изумруд в рунный меч.
dlga_magic_azziz_8:close_window.9|Вставить сапфир в рунный лук.
dlga_magic_azziz_8:close_window.10|Вставить рубин в рунный лук.
dlga_magic_azziz_8:close_window.11|Вставить изумруд в рунный лук.
dlga_magic_azziz_8:close_window.12|Вставить сапфир в рунный двуручный меч.
dlga_magic_azziz_8:close_window.13|Вставить рубин в рунный двуручный меч.
dlga_magic_azziz_8:close_window.14|Вставить изумруд в рунный двуручный меч.
dlga_magic_azziz_8:close_window.15|Вставить сапфир в Мистическую рунную броню
dlga_magic_azziz_8:close_window.16|Вставить рубин в Мистическую рунную броню
dlga_magic_azziz_8:close_window.17|Вставить измуруд в Мистическую рунную броню
dlga_magic_azziz_8:magic_azziz_10|...
dlga_magic_azziz_10:magic_azziz_11|И?
dlga_magic_azziz_11:magic_azziz_12|Имейте терпение ... хммммм ... ^^ ... Камень Куалис ... рунное оружие... драгоценности... вино ... не хватает.
dlga_magic_azziz_12:close_window|Сумасшедний старый дурак... Я ухожу.
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я хочу отложить назначение лорда, пока не выслушаю советы подданных.
dlga_award_fief_to_vassal_defer:close_window|Как пожелаете, {reg63?мой господин:моя леди}. Вы можете решить это позже.
dlga_award_fief_to_vassal_2:close_window|Как пожелаете, {reg63?сэр:моя леди}. {reg6?Я:{reg7?Вы:{s11}}} теперь правитель {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} остается без хозяина. Кого мне поставить за главного?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Прошу вас, {s65}, мне бы хотелось оставить {s1} себе. (наделов: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} отныне принадлежит вам. (Владения: {s0})
dlga_center_captured_rebellion_2:close_window|Хммм. Хорошо, {playername}. Я высоко ценю ваши советы. Новый владелец {s1} теперь {reg6?я:{reg7?вы:{s11}}}.
dlga_start:fighter_talk|День добрый! Мы оттачиваем здесь свое боевое мастерство и устраиваем тренировочные бои. Похоже, тебе тоже не помешало бы позаниматься. Присоединяйся к нам, и мы покажем тебе пару трюков. А если потребуются объяснения по технике боя - спрашивай, постараюсь рассказать все, что знаю.
dlga_start:fighter_talk.1|В чем желаешь попрактиковаться?
dlga_fighter_pretalk:fighter_talk|Скажи-ка, в чем ты желаешь поупражняться?
dlga_fighter_talk:fighter_talk_train_attack|Я хочу отработать атаку.
dlga_fighter_talk:fighter_talk_train_parry|Я хочу отработать блоки оружием.
dlga_fighter_talk:fighter_talk_train_combat|Давайте немного потренируемся в бою.
dlga_fighter_talk:close_window|[Уйти]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Превосходно! Существуют четыре основных направления атаки. Это удары сверху, справа, слева и выпад. А теперь я скажу, в каком направлении бить, и ты постараешься выполнить удар правильно. ^^(Чтобы выбрать направление удара, передвигайте мышь, зажав левую кнопку. Например, если нужно выполнить удар сверху, передвиньте мышь вверх, одновременно нажав левую кнопку. Значки на экране помогут вам выбрать правильное действие.)
dlga_fighter_talk_train_attack_2:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Вообще-то я хочу заняться чем-нибудь другим.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|В отличие от щита, оружие может блокировать лишь одну атаку с определенного направления. Например, если ты блокируешь удар сверху, то отразишь именно удар сверху, но тебя по-прежнему могут поразить удары с боков и выпады. ^^(Чтобы поставить блок, нажмите и удерживайте правую кнопку мыши.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Теперь я буду атаковать тебя с разных направлений и ждать, пока ты не поставишь соответствующий блок. Постарайся поставить нужный блок как можно быстрее. ^^(Это упражнение легко выполнять с настройкой 'автоматическое направление блока', которая включена по умолчанию. Если в меню настроек изменить контроль направления защиты на 'По движению мыши' или 'С клавиатуры', то придется выбирать направление блока самостоятельно. Это труднее, но интереснее. В таком случае это упражнение может оказаться весьма полезным.)
dlga_fighter_talk_train_parry_3:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Тренировочный бой - прекрасное средство подготовиться к настоящему сражению. Мы будем драться, не стараясь убить друг друга, пока один из нас не упадет на землю. Конечно, так можно получить синяки, но это лучше, чем погибнуть от меча в первом же бою.
dlga_fighter_talk_train_combat_2:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_start:fighter_parry_try_again|Хорошо. У тебя получается отражать мою атаку. Возможно, тебе захочется повторить упражнение, но делать все быстрее. Повторить?
dlga_start:fighter_parry_try_again.1|Ну что, не очень-то получается? (Помните - для постановки блока нужно нажимать и удерживать правую кнопку мыши.) Повторить?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Да, давай попробуем еще раз.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Нет. Мне пока хватит.
dlga_start:fighter_parry_warn|Эй, дружище! Мы занимаемся защитой! Тебе нужно блокировать мои атаки, а не нападать на меня.
dlga_fighter_parry_warn:fighter_talk_train_parry|Извини. Начнем заново.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Извини. Мне нужно прервать занятие.
dlga_fighter_talk_leave_parry:close_window|Ладно, как скажешь.
dlga_start:fighter_combat_try_again|Ну что, не очень-то получается? Не переживай и постарайся не допускать таких ошибок в будущем. Хочешь повторить?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Да, давай попробуем еще раз.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Нет. Мне кажется, пока хватит.
dlga_fighter_talk_leave_combat:close_window|Ну тогда ладно. Скажи, когда передумаешь.
dlga_start:fighter_combat_try_again.1|Хорошая была тренировка! Тебе удалось победить меня, но в следующий раз я буду осторожнее. Хочешь повторить?
dlga_start:fighter_talk.2|Отлично! Теперь ты можешь начинать удар с любой стороны. Если хочешь, можно еще раз поработать над тем же самым, или займемся чем-нибудь другим.
dlga_start:archer_challenge_2|Неплохо. Совсем неплохо!!! Похоже, тебе удалось усвоить основы стрельбы из лука. А теперь попробуй повторить то же самое с арбалетом. Возьми вон тот арбалет с болтами и порази эти три мишени. По сравнению с луком, из арбалета стрелять легче, но после каждого выстрела его приходится перезаряжать.
dlga_start:archer_challenge_2.1|Хорошо. Из арбалета тебе стрелять тоже не трудно. Теперь нужно научиться обращаться с метательным оружием. Возьми вон те дротики и постарайся попасть в эти три мишени.
dlga_start:ranged_end|Ну что ж, теперь ты владеешь основами обращения со всеми тремя типами оружия дальнего действия. Остальное придет с практикой. Тренируйся каждый день, и место среди лучших стрелков Пендора тебе обеспечено.
dlga_ranged_end:close_window|А теперь ты можешь поговорить с учителями ближнего боя или верховой езды, если еще не удалось этого сделать. Они тоже могут многому научить.
dlga_start:archer_talk|День добрый, дружище. Я обучаю искусству дальнего боя всякого, кто желает учиться. Если тебе нужен наставник, скажи мне, и я научу тебя обращаться с луком, арбалетом и дротиком.
dlga_archer_talk:archer_challenge|Да, покажи мне, как обращаться с оружием дальнего действия.
dlga_archer_talk:close_window|Нет, не сейчас.
dlga_archer_challenge:archer_challenge_2|Прекрасно. Сначала я дам тебе урок стрельбы из лука. Лук - это сложное оружие, но, овладев им, ты сможешь стрелять быстро и метко. Возьми вон тот лук со стрелами и порази эти мишени.
dlga_archer_challenge_2:close_window|Хорошо, будет сделано.
dlga_archer_challenge_2:close_window.1|Минутку. Мне нужно сначала сделать кое-что еще.
dlga_start:horseman_melee_challenge_2|Надеюсь, тебе понравилась поездка. А теперь перейдем к заданию потруднее. Возьми вон то копье и проскачи, поразив по пути каждую мишень хотя бы раз.
dlga_start:horseman_melee_challenge_2.1|Неплохо! Тебе удалось поразить все цели верхом, а это нелегкая задача для начинающих. Теперь тебе нужно поразить мишени вдоль дороги, стреляя из лука. Если поразишь все мишени, можешь считать, что задание выполнено успешно.
dlga_start:horsemanship_end|Великолепно! Тебе удалось поразить все цели верхом. Продолжай тренироваться каждый день, и вскоре ты достигнешь высот мастерства.
dlga_horsemanship_end:close_window|А теперь ты можешь поговорить с тренерами ближнего боя или с тренером стрельбы, если еще не удалось это сделать. Перед настоящей битвой тебе нужно научиться всему.
dlga_start:horseman_talk|Добрый день! Я приехал сюда поупражняться в верховой езде, но мои старые кости разболелись не на шутку, так что, пожалуй, я сегодня отдохну. Если хочешь попрактиковаться, возьми мою лошадку. Для нее это будет неплохой разминкой.
dlga_horseman_talk:horseman_challenge|Да, мне хотелось бы потренироваться в верховой езде. 
dlga_horseman_talk:close_window|Хмм. Может, позже.
dlga_horseman_challenge:horseman_melee_challenge_2|Хорошо. Теперь я покажу тебе несколько упражнений, которые научат тебя пользоваться оружием из седла. Первое задание совсем простое: проедься по кругу в любом темпе. Когда освоишься в седле, возвращайся, и я скажу, что делать дальше.
dlga_horseman_melee_challenge_2:close_window|Хорошо, будет сделано.
dlga_horseman_melee_challenge_2:close_window.1|Минутку. Мне нужно сначала сделать кое-что еще.
dlga_tutorial_troop_default:close_window|Эй, я тут делом занимаюсь! Если тебе нужны советы по оружию дальнего боя, иди, поговори с тренером-стрелком.
dlga_start:lord_prison_break_confirm_3|Планы изменились?
dlga_start:lord_prison_break|Что происходит?
dlga_start:drunk_response|На что ты смотришь?
dlga_start:drunk_response.1|Вы смотрите на меня?
dlga_player_duel_response:close_window|Теперь тут беспорядок...
dlga_player_duel_response:close_window.1|Пусть уж лучше он, чем я.
dlga_drunk_response:drunk_fight_start|Хотел{reg63?:а} бы я это знать... Вроде бы на грязную тварь.
dlga_drunk_response:drunk_fight_start.1|Простите, пожалуйста. Приношу свои извинения.
dlga_drunk_fight_start:close_window|Сейчас я сотру твою ухмылку!
dlga_drunk_response:drunk_player_high_renown|Ты хоть представляешь, кто я так{reg63?ой:ая}?!
dlga_drunk_player_high_renown:drunk_fight_start|Что ж, если ты так ищешь драки...
dlga_drunk_player_high_renown:drunk_player_high_renown_1|Ох... Действительно... Да, да, я узнаю вас, {reg63?господин:госпожа}. Простите, это мне выпивка в голову ударила. Я уже ухожу...
dlga_drunk_player_high_renown_1:drunk_fight_start|Если хочешь драки, то получишь ее!
dlga_drunk_player_high_renown_1:close_window|А сейчас убирайся отсюда. [больше никаких драк в таверне]
dlga_start:fistfight_response|Похоже, в случае чего, вы сможете отоварить врага по первое число. А если так, то у меня к вам одно деловое предложение.
dlga_fistfight_response:fistfight_response_2|Какое же?
dlga_fistfight_response_2:fistfight_response_2a|Хорошо, очень хорошо, что вам это интересно. Дело такое... Оно слегка запутанное, так что слушайте внимательно.
dlga_fistfight_response_2a:fistfight_response_3|Я предлагаю вам подраться - один на один, вы против соперника. Бой на кулаках и без брони, ясное дело. Я буду принимать на вас ставки, а выручку поделю пополам с победителем. Если проиграем, я возьму на себя убытки. Сами видите: вы ничего кроме здоровья не потеряете.
dlga_fistfight_response_3:fistfight_response_4|Только сделать все чинно-благородно, как на обустроенных ристалищах, не выйдет. Люди не станут делать ставки загодя, а будут стекаться на шум и только потом расставаться с деньгами. Да и ни к чему лишние премудрости: подвыпившая публика их не поймет.
dlga_fistfight_response_4:fistfight_response_4a|Как видите, главная выгода в том, что можно тянуть из зевак денежки всю дорогу, пока не кончится бой. Особенно хорошо, если кажется, будто кто проигрывает - тогда ставят против него. А потом хоп, и бьют уже другого бойца. Лучший способ получить денежки - это позволить хорошенько выбить из себя пыль и только потом как следует отдубасить соперника. Понятное дело, что как бы ни прошла схватка, в конце надо победить.
dlga_fistfight_response_4a:fistfight_response_5|Запомните и вот что: нельзя затягивать бой слишком надолго. Не ровен час, люди заподозрят подлог. Так что не забывайте мутузить друг друга. Помните - зрителям нужна кровь!
dlga_fistfight_response_5:fistfight_response_5a|Да, вот еще что: ваш противник не особо любит изыски, а потому хитрить не станет и по-простому попробует вам навалять. Так что сделать бой красивым придется вам.
dlga_fistfight_response_5a:fistfight_response_confirm|Ну, что вы на это скажете?
dlga_fistfight_response_confirm:close_window.1|У меня есть дела и поважнее.
dlga_start:ramun_introduce_1|Доброго дня, {reg63?молодой человек:красавица}.
dlga_ramun_introduce_1:ramun_introduce_2|Простите, вы похожи на торговца, но я не вижу при вас товаров.
dlga_ramun_introduce_1:close_window|Неважно. 
dlga_ramun_introduce_2:ramun_introduce_3|Торговец? О, конечно, конечно же, я занимаюсь торговлей. Правда мои товары немного отличаются от большинства других. Их приходится кормить и поить дважды в день, а еще они пытаются сбежать, когда от них отвернешься.
dlga_ramun_introduce_3:ramun_introduce_4|Скот?
dlga_ramun_introduce_4:ramun_introduce_5|Скот? Ха-ха! А ты не {reg63?местный:местная}, да? Я - Принц Сингала! Не-е, не тот, который королевских кровей, но Принц Плоти! Плоти рабов! Всем нужны рабы. Кому-то требуются гребцы для галер, кому-то необходимы бойцы для арен, а кто-то хочет... тонких развлечений. Я снабжаю всех.
dlga_ramun_introduce_5:ramun_introduce_6|Люди? Ты торгуешь людьми?
dlga_ramun_introduce_6:ramun_introduce_7|Нет, не людьми, это было бы аморально. Я торгую рабами. Совершенно разные вещи, как видите. Сингал - это центр работорговли, а я - центр Сингала! Красное братство является моим хорошим партнером по приобретению и продаже плоти. Еще оголодавшие шейхи, которые уже устали от своих четырех жен, а также северные лорды - им часто требуются мужчины с мечом, чтобы тренировать на них рекрутов. И все они хорошо платят.
dlga_ramun_introduce_7:ramun_introduce_8|Откуда эти рабы берутся?
dlga_ramun_introduce_8:ramun_introduce_9|В основном я торгую осужденными преступниками, которых выкупаю у властей. Кого-то покупаю у налетчиков, но не будем об этом: тут повсюду уши. Остальные - военнопленные различных стран, доставленные ко мне, потому что я предлагаю лучшую цену. Впрочем, по возможности я покупаю и у частных лиц, и у других... 'индивидуумов'. Меня не интересует происхождение товара. А у вас, случайно, нет с собой каких-нибудь пленных?
dlga_ramun_introduce_9:ramun_introduce_10|У меня?
dlga_ramun_introduce_10:ramun_introduce_11|Ну да. Если вы хотя бы изредка высовываете нос из города, рано или поздно вам придется скрестить с кем-нибудь клинки. Бог даст - вы выйдете победителем. Почему бы этим не воспользоваться? Возьмите вашего противника живым и приведите ко мне. Я плачу за каждого пленного, и мне все равно, кто они и откуда.
dlga_ramun_introduce_11:ramun_introduce_12|Хмм. Я подумаю над вашим предложением.
dlga_ramun_introduce_12:close_window|Подумайте хорошенько! На этом можно заработать кучу денег, дело верное. В накладе вы не останетесь.
dlga_start:ramun_talk|Приветствую, {playername}.
dlga_ramun_pre_talk:ramun_talk|Что-нибудь еще?
dlga_ramun_talk:ramun_sell_prisoners|У меня есть то, что может вас заинтересовать. Хотите взглянуть?
dlga_ramun_talk:ramun_sell_prisoners_all|Я привел{reg63?:а} пленников и хочу продать всех.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Давайте-ка посмотрим, кто у вас там...
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_2|Давайте-ка посмотрим, кто у вас там...
dlga_ramun_sell_prisoners_2:close_window|С вами приятно иметь дело.
dlga_ramun_talk:ramun_ask_about_capturing|Как мне захватить пленника?
dlga_ramun_talk:ramun_ask_about_capturing.1|Расскажите мне еще раз о захвате пленных.
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Вы в этом деле новичок, да? Давайте я вам объясню все по-простому. Самое главное при захвате пленника не наносить удар острым клинком, а сбить противника с ног тупым оружием, вроде палицы или дубинки. Тогда он на некоторое время впадет в бесчувствие, но не изойдет кровью насмерть, понимаете? Полагаю, у вас есть такое оружие...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Конечно.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|В том-то и дело, что нет.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Отлично. Так вот, все, что вам нужно сделать - это врезать мерзавцу так, чтобы он упал, а когда бой будет окончен, заковать его в кандалы. С дворянами-то все проще: они обычно достаточно хорошо защищены, так что неважно, каким видом оружия вы воспользуетесь. А вот из обычного головореза, если проткнуть его чем-то острым, кровь хлынет, как из заколотого поросенка. Я не требую чего-то особенного, но я настаиваю, чтобы они хотя бы дышали, когда я их покупаю.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Нет? Ну, что же, вам сегодня исключительно повезло. У меня завалялась старая дубинка, которую я собирался выкинуть. Она немного потрепанная, но ею вполне еще можно врезать кому-нибудь до потери сознания. Вот, держите.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Спасибо, Рамун. Надо опробовать ее в деле.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Ладно, давайте я вам еще раз объясню все по-простому. Самое главное при захвате пленника не наносить удар острым клинком, а сбить противника с ног тупым оружием, вроде палицы или дубинки. Тогда он на некоторое время впадет в бесчувствие, но не изойдет кровью насмерть, понимаете? С дворянами-то все проще, они обычно достаточно хорошо защищены, так что неважно, каким видом оружия вы воспользуетесь. А из обычного головореза, если проткнуть его чем-то острым, кровь хлынет как из заколотого поросенка. 
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Вроде бы все понятно. Что еще мне нужно знать?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Ну, все не так просто. Дробящее оружие наносит не такие сильные повреждения, как клинковое, поэтому свалить врага будет несколько сложнее. И уж можете мне поверить, этим негодяям только дай шанс, и они убьют вас, не раздумывая. Так что, выходя на противника с дубинкой, не церемоньтесь. Должен сказать, что пленники замедляют передвижение отряда, поэтому кое-кто просто освобождает их по окончании боя. Безумие. Как можно вот так запросто отказаться от кучи денег?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Это все?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Нет, еще кое-что. Управляться с пленниками непросто, тут нужно настоящее умение. Если собираетесь захватывать помногу пленных, придется потрудиться и самостоятельно овладеть необходимыми навыками, иначе вы и одного-то не удержите.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Спасибо, буду иметь в виду.
dlga_ramun_talk:ramun_casino_1|Рамун, хочешь поучаствовать в азартной игре?
dlga_ramun_casino_1:ramun_casino_2|Ха! Я уверен, что удача на моей строне!
dlga_ramun_casino_1:ramun_talk|Нет, я пас, удача не на моей стороне на этой неделе.
dlga_ramun_casino_2:ramun_casino_3|Ставка в следующем: Я продам тебе необычных рабов из различных областей Пендора за {reg37} динар. В противном случае, я забираю твою денежную ставку. ^^Начнем... или убежишь с поджатым хвостом?
dlga_ramun_casino_3:ramun_casino_4|Бросай кости!
dlga_ramun_casino_3:close_window|Эти кости выглядят подозрительно... я пас.
dlga_ramun_casino_3:ramun_leave|Ставка слишком высока для меня...я пас.
dlga_ramun_casino_4:ramun_leave|Вы должны были прислушаться к старому Рамуну! Удача и в самом деле на моей стороне!
dlga_ramun_casino_4:close_window|Кажется, мне не повезло в игре. Скоро вам доставят рабов.
dlga_ramun_talk:ramun_leave|Я, пожалуй, пойду.
dlga_ramun_leave:close_window|Помните: любых ваших пленников приводите ко мне. За каждого я заплачу вам хорошие деньги.
dlga_start:close_window.6|{reg63?Господин:Госпожа}, мы так рады что вы согласились сопровождить нас в {s11}. Пожалуйста держитесь поближе, мы слышали Красное Братство подстерегает путников на этой дороге..
dlga_start:close_window.7|Еще раз спасибо за все, что вы сделали.
dlga_start:manhunter_talk_b|{s4}
dlga_manhunter_talk_b:manhunter_talk_b1|Рад{reg63?:а} встрече с доблестным ополчением! Какими новостями вы можете поделиться?
dlga_manhunter_talk_b1:manhunter_talk_b2|{s4}
dlga_manhunter_talk_b:militia_give_troops|Я хочу передать вам часть войск.
dlga_militia_give_troops:militia_give_troops_continue|Благодарю вас, {reg63?милорд:миледи}, нам всегда пригодятся новые люди.
dlga_militia_give_troops_continue:manhunter_talk_b|Что-нибудь еще, {reg63?милорд:миледи}?
dlga_manhunter_talk_b:manhunter_talk_b2|Молодцы! Продолжайте патрулирование.
dlga_manhunter_talk_b:close_window|Что ж, вот вы и встретились с разбойниками в последний раз, обнажайте сталь.
dlga_manhunter_talk_b2:close_window|Благодарю, ваша {reg63?светлость:милость}. За мной! Вперед!
dlga_start:generic_response_1|Warning: This line should never be displayed.
dlga_start:order_party_friendly_response_specific|{s4}
dlga_order_party_friendly_response_specific:close_window|{s5}
dlga_order_party_friendly_response_specific:close_window.1|{s6}
dlga_start:order_party_friendly_response|{s4}
dlga_order_party_friendly_response:close_window|Приветствую, так приятно увидеть дружелюбное лицо в этих краях. Удачи тебе в путешествиях!
dlga_order_party_friendly_response:close_window.1|Достаточно долго я терпел вашу фальшивую дружбу. Готовьтесь умереть!
dlga_start:order_party_hostile_weak_specific|{s4}
dlga_order_party_hostile_weak_specific:close_window|{s5}
dlga_order_party_hostile_weak_specific:close_window.1|{s6}
dlga_start:order_party_hostile_weak|{s4}
dlga_order_party_hostile_weak:close_window|Ваш фальшивый орден позорит весь Пендор! К оружию!
dlga_order_party_hostile_weak:close_window.1|Ба, у меня есть дела поважнее, чем тратить свое время на такого как ты.
dlga_start:order_party_hostile_strong_specific|{s4}
dlga_order_party_hostile_strong_specific:close_window|{s5}
dlga_start:order_party_hostile_strong|{s4}
dlga_order_party_hostile_strong:close_window|Мы ответим на гнев холодной сталью. К оружию!
dlga_start:order_party_kingdom_friend|Приветствую, мы из {s4}, служащих {s5}. Зачем вы пришли?
dlga_order_party_kingdom_friend:close_window|Приветствую, так приятно увидеть дружелюбное лицо в этих краях. Удачи тебе в путешествиях!
dlga_order_party_kingdom_friend:close_window.1|Ваш фальшивый орден служит никчемному грандмастеру! К оружию!
dlga_start:order_party_kingdom_hostile|Остерегайтесь мощи {s4}, служащих {s5}. Сдавайтесь или умрите!
dlga_order_party_kingdom_hostile:close_window|Мы ответим на гнев холодной сталью. К оружию!
dlga_order_party_kingdom_hostile:close_window.1|Ба, у меня есть дела поважнее, чем тратить свое время на такого как ты.
dlga_start:steppe_bandits_1|Warning: This line should never be displayed.
dlga_steppe_bandits_1:companion_comment|{s4}
dlga_start:burilgi_the_usurper_1|Warning: This line should never be displayed.
dlga_burilgi_the_usurper_1:companion_comment|{s4}
dlga_start:obrist_heynrich_1|Warning: This line should never be displayed.
dlga_obrist_heynrich_1:companion_comment|{s4}
dlga_start:verante_kruus_friendly|Я Веранте, круус новой королевы Виккавии. До нас дошли слухи, что могущественная ведьма бежала в эти земли искать убежище и поддержку ее темной и зловещей цели. Мы пришли, чтобы преследовать и убить, а затем отнести ее голову в Виккавию, к моей королеве.^Остерегайтесь ведьмы. Ее имя Боадис, и она могущественна. Она утверждает, трон Виккавии принадлежит ей, но не верьте этой лжи!
dlga_verante_kruus_friendly:close_window|Могущественная ведьма в Пендоре? Вы должны поговорить с рыцарями Рассвета в Валонбрее. Они могут знать больше о ведьмах.
dlga_start:verante_kruus_1|Внимание: Эта строка не должна отображаться.
dlga_verante_kruus_1:companion_comment|{s4}
